,ModelName,IdRun,DateAction,options,Params,Remarks,AccuracyTrain,AccuracyTest,PrecisionTest,RecallTest,F1ScoreTest
0,Adaboost Classifier,AD611,2025-04-04 14:18:49,"{'extFitType': 'tfidf', 'scheme': '80/20', 'smote': False}",{'modelParams': {'random_state': 42}},,0.80410968,0.79723911,0.79721509,0.79723911,0.76790532
1,Adaboost Classifier,AD613,2025-04-04 14:19:36,"{'extFitType': 'w2vec', 'scheme': '80/20', 'smote': False}",{'modelParams': {'random_state': 42}},,0.81696429,0.81268997,0.81127556,0.81268997,0.81193869
2,DecisionTree Classifier,DT411,2025-04-04 14:03:17,"{'extFitType': 'tfidf', 'scheme': '80/20', 'smote': False}",{'modelParams': {'random_state': 42}},,0.99895517,0.87765957,0.87783643,0.87765957,0.87774637
3,DecisionTree Classifier,DT413,2025-04-04 14:03:38,"{'extFitType': 'w2vec', 'scheme': '80/20', 'smote': False}",{'modelParams': {'random_state': 42}},,0.99955674,0.79546606,0.79549522,0.79546606,0.79548062
4,DecisionTree Classifier,DT491,2025-04-04 14:06:43,"{'randSCV': True, 'extFitType': 'tfidf', 'scheme': '80/20', 'smote': False}","{'BestParamsRandSCV': {'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 8, 'min_samples_split': 8}}",,0.87031408,0.85587639,0.85194613,0.85587639,0.84999053
5,DecisionTree Classifier,DT492,2025-04-04 14:09:14,"{'randSCV': True, 'extFitType': 'tfidf', 'scheme': '70/30', 'smote': False}","{'BestParamsRandSCV': {'criterion': 'entropy', 'max_depth': 19, 'min_samples_leaf': 7, 'min_samples_split': 12}}",,0.87212332,0.85233029,0.84836481,0.85233029,0.84566438
6,Gradient Boosting,GB511,2025-04-04 14:14:19,"{'extFitType': 'tfidf', 'scheme': '80/20', 'smote': False}",{'modelParams': {'random_state': 42}},,0.86610309,0.85625633,0.85501865,0.85625633,0.84723394
7,Gradient Boosting,GB513,2025-04-04 14:17:31,"{'extFitType': 'w2vec', 'scheme': '80/20', 'smote': False}",{'modelParams': {'random_state': 42}},,0.85334347,0.84017224,0.84008148,0.84017224,0.84012661
8,Logistic Regression,LR311,2025-04-04 14:01:40,"{'extFitType': 'tfidf', 'scheme': '80/20', 'smote': False}",{'modelParams': {'random_state': 42}},,0.95111449,0.93933637,0.93882573,0.93933637,0.93861121
9,Logistic Regression,LR313,2025-04-04 14:01:51,"{'extFitType': 'w2vec', 'scheme': '80/20', 'smote': False}",{'modelParams': {'random_state': 42}},,0.83928571,0.83320669,0.82783516,0.83320669,0.82889979
10,Logistic Regression,LR391,2025-04-04 14:28:21,"{'randSCV': True, 'extFitType': 'tfidf', 'scheme': '80/20', 'smote': False}","{'BestParamsRandSCV': {'C': 1.5702970884055387, 'penalty': 'l1', 'solver': 'liblinear'}}",,0.97049139,0.95997974,0.9597602,0.95997974,0.95978622
11,Naive Bayes,NB11,2025-04-04 13:51:28,"{'ModelType': 'multinomial', 'extFitType': 'tfidf', 'scheme': '80/20'}",{'modelParams': {'alpha': 0.5}},,0.86439336,0.84916413,0.85075012,0.84916413,0.84988418
12,Naive Bayes,NB12,2025-04-04 13:51:31,"{'ModelType': 'bernoulli', 'extFitType': 'tfidf', 'scheme': '80/20'}",{'modelParams': {'alpha': 0.5}},,0.84007725,0.83194022,0.83461353,0.83194022,0.83312057
13,Naive Bayes,NB13,2025-04-04 13:51:33,"{'ModelType': 'multinomial', 'extFitType': 'tfidf', 'scheme': '70/30'}",{'modelParams': {'alpha': 0.5}},,0.86694891,0.84768659,0.84880459,0.84768659,0.8482083
14,Naive Bayes,NB14,2025-04-04 13:51:36,"{'ModelType': 'bernoulli', 'extFitType': 'tfidf', 'scheme': '70/30'}",{'modelParams': {'alpha': 0.5}},,0.8419091,0.83029382,0.83281941,0.83029382,0.83141744
15,Naive Bayes,NB21,2025-04-04 13:51:51,"{'gridSCV': True, 'ModelType': 'multinomial', 'extFitType': 'tfidf', 'scheme': '70/30'}",{'BestParamsGridSCV': {'alpha': 1.0}},,0.86694891,0.84819318,0.84848407,0.84819318,0.84833588
16,Naive Bayes,NB22,2025-04-04 13:52:13,"{'gridSCV': True, 'ModelType': 'bernoulli', 'extFitType': 'tfidf', 'scheme': '70/30'}",{'BestParamsGridSCV': {'alpha': 0.01}},,0.84281372,0.83122256,0.83439268,0.83122256,0.83259417
17,Random Forest,RF211,2025-04-04 13:54:10,"{'extFitType': 'tfidf', 'scheme': '80/20', 'smote': False}",{'modelParams': {'n_jobs': 2}},,0.99895517,0.90374873,0.90481117,0.90374873,0.90420174
18,Random Forest,RF213,2025-04-04 13:55:02,"{'extFitType': 'w2vec', 'scheme': '80/20', 'smote': False}",{'modelParams': {'n_jobs': 2}},,0.99955674,0.85131712,0.84962803,0.85131712,0.85034955
19,Random Forest,RF221,2025-04-04 13:56:28,"{'extFitType': 'tfidf', 'scheme': '70/30', 'smote': False}",{'modelParams': {'n_jobs': 2}},,0.99891446,0.90189125,0.90323101,0.90189125,0.90244641
20,Random Forest,RF291,2025-04-04 14:01:34,"{'randSCV': True, 'extFitType': 'tfidf', 'scheme': '80/20', 'smote': False}","{'BestParamsRandSCV': {'n_estimators': 50, 'min_samples_split': 5, 'max_depth': None}}",,0.9975304,0.90640831,0.90732761,0.90640831,0.90680463
